"iptProductId","ticketProductId","isPurchaseTarget"
"793","1075","True"
"865","1001","True"
"867","1002","True"
"868","1003","True"
"869","1004","True"
"870","1005","True"
"871","1006","True"
"872","1007","True"
"873","1008","True"
"874","1009","True"
"875","1010","True"
"876","1011","True"
"877","1012","True"
"878","1013","True"
"879","1014","True"
"880","1015","True"
"881","1016","True"
"882","1045","True"
"884","1049","True"
"885","1053","True"
"888","1058","True"
"892","1033","True"
"894","1060","True"
"895","1017","True"
"897","1059","True"
"898","1018","True"
"899","1019","True"
"902","1034","True"
"903","1035","True"
"904","1036","True"
"905","1037","True"
"906","1038","True"
"907","1039","True"
"908","1040","True"
"909","1041","True"
"910","1042","True"
"911","1043","True"
"912","1044","True"
"913","1020","True"
"914","1021","True"
"915","1022","True"
"916","1023","True"
"917","1024","True"
"918","1025","True"
"919","1026","True"
"920","1027","True"
"921","1028","True"
"922","1029","True"
"923","1030","True"
"924","1031","True"
"925","1032","True"
