"iptProductId","ticketProductId"
"793","1075"
"865","1001"
"867","1002"
"868","1003"
"869","1004"
"870","1005"
"871","1006"
"872","1007"
"873","1008"
"874","1009"
"875","1010"
"876","1011"
"877","1012"
"878","1013"
"879","1014"
"880","1015"
"881","1016"
"882","1045"
"884","1049"
"885","1053"
"888","1058"
"892","1033"
"894","1060"
"895","1017"
"897","1059"
"898","1018"
"899","1019"
"902","1034"
"903","1035"
"904","1036"
"905","1037"
"906","1038"
"907","1039"
"908","1040"
"909","1041"
"910","1042"
"911","1043"
"912","1044"
"913","1020"
"914","1021"
"915","1022"
"916","1023"
"917","1024"
"918","1025"
"919","1026"
"920","1027"
"921","1028"
"922","1029"
"923","1030"
"924","1031"
"925","1032"
